date,warehouse_id,city,capacity_limit,capacity_used_pct,daily_orders_processed,efficiency_score,error_rate_pct,staff_count,avg_processing_min,vehicles_in,vehicles_out,month,weekday,is_weekend
2023-01-06,WH-05,Antalya,18000,66.72,31,0.825,1.6447,10,9.89,4,7,1,4,False
2023-01-06,WH-06,Adana,15000,69.12,25,0.7703,1.6566,5,10.12,2,2,1,4,False
2023-01-06,WH-07,Konya,12000,69.44,19,0.738,1.6894,5,10.68,2,2,1,4,False
2023-01-06,WH-08,Kocaeli,22000,76.74,34,0.8544,0.7688,9,9.41,4,5,1,4,False
2023-01-07,WH-01,İstanbul,50000,59.79,55,0.8742,0.4606,24,9.69,5,8,1,5,True
2023-01-07,WH-02,Ankara,30000,59.85,30,0.8603,1.2168,14,8.87,3,2,1,5,True
2023-01-07,WH-03,İzmir,25000,68.41,23,0.873,1.016,11,9.46,2,6,1,5,True
2023-01-07,WH-04,Bursa,20000,65.61,18,0.8305,1.5632,10,9.43,1,5,1,5,True
2023-01-07,WH-05,Antalya,18000,56.32,22,0.7757,2.2234,8,10.37,6,4,1,5,True
2023-01-07,WH-06,Adana,15000,61.87,14,0.7212,2.6111,7,11.48,4,1,1,5,True
2023-01-07,WH-07,Konya,12000,67.66,12,0.7999,1.7463,5,9.57,1,5,1,5,True
2023-01-07,WH-08,Kocaeli,22000,75.57,21,0.8718,0.2384,12,9.46,5,5,1,5,True
2023-01-08,WH-01,İstanbul,50000,77.14,38,0.8631,1.7759,22,8.9,4,5,1,6,True
2023-01-08,WH-02,Ankara,30000,78.43,24,0.7835,1.5232,15,9.74,1,6,1,6,True
2023-01-08,WH-03,İzmir,25000,77.66,18,0.8191,1.3273,12,10.0,0,5,1,6,True
2023-01-08,WH-04,Bursa,20000,63.57,13,0.8213,1.5814,8,10.38,1,3,1,6,True
2023-01-08,WH-05,Antalya,18000,73.54,13,0.7729,1.207,8,10.7,2,2,1,6,True
2023-01-08,WH-06,Adana,15000,52.04,10,0.7654,1.7163,6,9.6,4,5,1,6,True
2023-01-08,WH-07,Konya,12000,60.62,10,0.7122,2.0179,6,10.7,2,3,1,6,True
2023-01-08,WH-08,Kocaeli,22000,60.78,15,0.8311,1.2435,12,9.48,3,2,1,6,True
2023-01-09,WH-01,İstanbul,50000,46.43,84,0.8724,1.7583,25,9.23,7,10,1,0,False
2023-01-09,WH-02,Ankara,30000,77.54,50,0.8606,0.6041,16,9.98,5,6,1,0,False
2023-01-09,WH-03,İzmir,25000,65.21,34,0.8658,0.1,11,8.88,1,7,1,0,False
2023-01-09,WH-04,Bursa,20000,73.36,30,0.8283,1.5842,10,10.89,5,4,1,0,False
2023-01-09,WH-05,Antalya,18000,64.86,32,0.7821,1.3951,8,9.63,4,2,1,0,False
2023-01-09,WH-06,Adana,15000,57.84,27,0.7793,1.5141,6,10.1,4,3,1,0,False
2023-01-09,WH-07,Konya,12000,89.3,23,0.7075,2.1109,6,11.38,4,5,1,0,False
2023-01-09,WH-08,Kocaeli,22000,68.93,33,0.883,0.8158,10,9.92,6,2,1,0,False
2023-01-10,WH-01,İstanbul,50000,60.68,72,0.8561,2.0005,23,9.76,6,7,1,1,False
2023-01-10,WH-02,Ankara,30000,79.51,47,0.8307,0.279,16,9.51,3,7,1,1,False
2023-01-10,WH-03,İzmir,25000,61.76,31,0.8511,0.6668,10,9.55,3,4,1,1,False
2023-01-10,WH-04,Bursa,20000,56.79,27,0.8707,0.869,8,8.74,3,2,1,1,False
2023-01-10,WH-05,Antalya,18000,68.38,29,0.81,1.9224,9,10.18,3,1,1,1,False
2023-01-10,WH-06,Adana,15000,56.06,22,0.8007,2.0342,6,9.66,5,5,1,1,False
2023-01-10,WH-07,Konya,12000,57.76,23,0.7468,1.6903,5,10.34,1,4,1,1,False
2023-01-10,WH-08,Kocaeli,22000,68.12,27,0.8797,0.6301,13,9.24,3,5,1,1,False
2023-01-11,WH-01,İstanbul,50000,68.1,76,0.8522,0.6935,24,9.11,8,7,1,2,False
2023-01-11,WH-02,Ankara,30000,61.98,47,0.8386,0.6607,14,9.18,2,7,1,2,False
2023-01-11,WH-03,İzmir,25000,61.34,23,0.8189,1.6776,12,9.07,1,4,1,2,False
2023-01-11,WH-04,Bursa,20000,54.76,29,0.8397,0.9386,9,9.42,3,2,1,2,False
2023-01-11,WH-05,Antalya,18000,65.44,27,0.8018,1.945,8,9.46,6,3,1,2,False
2023-01-11,WH-06,Adana,15000,58.9,18,0.7667,1.1745,8,9.91,1,2,1,2,False
2023-01-11,WH-07,Konya,12000,76.81,17,0.7345,1.5777,5,11.09,5,5,1,2,False
2023-01-11,WH-08,Kocaeli,22000,69.61,34,0.8634,0.8246,10,9.29,3,4,1,2,False
2023-01-12,WH-01,İstanbul,50000,41.32,86,0.8982,0.6695,24,9.25,6,6,1,3,False
2023-01-12,WH-02,Ankara,30000,66.81,46,0.771,1.6934,15,10.18,3,5,1,3,False
2023-01-12,WH-03,İzmir,25000,66.31,38,0.8629,1.8574,12,9.95,2,6,1,3,False
2023-01-12,WH-04,Bursa,20000,46.05,31,0.8172,1.0577,9,9.63,4,2,1,3,False
2023-01-12,WH-05,Antalya,18000,59.64,29,0.7965,1.8131,9,9.31,5,4,1,3,False
2023-01-12,WH-06,Adana,15000,69.96,25,0.7543,1.0603,7,10.34,1,3,1,3,False
2023-01-12,WH-07,Konya,12000,64.37,17,0.7837,1.8042,5,9.95,1,5,1,3,False
2023-01-12,WH-08,Kocaeli,22000,64.99,34,0.8781,0.7095,10,8.89,5,3,1,3,False
2023-01-13,WH-01,İstanbul,50000,64.83,85,0.8697,0.5469,24,9.54,6,5,1,4,False
2023-01-13,WH-02,Ankara,30000,72.88,58,0.8182,1.3754,16,9.72,6,8,1,4,False
2023-01-13,WH-03,İzmir,25000,64.77,46,0.778,2.1078,12,10.12,2,3,1,4,False
2023-01-13,WH-04,Bursa,20000,77.17,30,0.8256,1.2231,10,11.06,6,2,1,4,False
2023-01-13,WH-05,Antalya,18000,66.43,32,0.7921,2.4903,9,10.53,4,7,1,4,False
2023-01-13,WH-06,Adana,15000,69.29,26,0.7516,2.0715,6,10.39,1,6,1,4,False
2023-01-13,WH-07,Konya,12000,59.37,21,0.7439,1.8649,5,10.87,6,6,1,4,False
2023-01-13,WH-08,Kocaeli,22000,54.48,40,0.8783,0.4163,12,9.39,7,5,1,4,False
2023-01-14,WH-01,İstanbul,50000,71.82,45,0.8516,0.7045,25,10.0,2,8,1,5,True
2023-01-14,WH-02,Ankara,30000,62.03,33,0.8251,1.1082,14,9.9,2,5,1,5,True
2023-01-14,WH-03,İzmir,25000,68.57,22,0.8076,0.9021,12,9.48,3,2,1,5,True
2023-01-14,WH-04,Bursa,20000,62.64,18,0.8123,1.6176,10,9.36,5,3,1,5,True
2023-01-14,WH-05,Antalya,18000,63.38,15,0.823,1.383,8,10.59,0,6,1,5,True
2023-01-14,WH-06,Adana,15000,51.18,16,0.7516,2.0985,5,10.5,1,4,1,5,True
2023-01-14,WH-07,Konya,12000,63.21,12,0.7037,3.1047,6,10.94,5,2,1,5,True
2023-01-14,WH-08,Kocaeli,22000,64.35,25,0.8898,0.8298,9,8.46,2,1,1,5,True
2023-01-15,WH-01,İstanbul,50000,73.26,41,0.8301,2.0556,26,9.32,5,6,1,6,True
2023-01-15,WH-02,Ankara,30000,47.38,22,0.799,1.5025,15,9.95,3,6,1,6,True
2023-01-15,WH-03,İzmir,25000,57.25,19,0.8597,1.9639,12,9.32,2,2,1,6,True
2023-01-15,WH-04,Bursa,20000,62.15,13,0.7906,0.9521,9,10.4,2,1,1,6,True
2023-01-15,WH-05,Antalya,18000,74.57,12,0.7732,1.7696,9,10.19,1,0,1,6,True
2023-01-15,WH-06,Adana,15000,69.58,11,0.7398,1.7582,8,11.47,4,1,1,6,True
2023-01-15,WH-07,Konya,12000,58.06,10,0.7661,1.7325,5,10.12,4,1,1,6,True
2023-01-15,WH-08,Kocaeli,22000,73.69,16,0.8359,0.8297,10,9.51,0,1,1,6,True
2023-01-16,WH-01,İstanbul,50000,69.56,88,0.8025,1.402,25,9.53,5,10,1,0,False
2023-01-16,WH-02,Ankara,30000,70.0,45,0.8405,1.1874,15,9.75,5,7,1,0,False
2023-01-16,WH-03,İzmir,25000,56.33,36,0.8382,0.9479,11,9.5,6,7,1,0,False
2023-01-16,WH-04,Bursa,20000,44.52,32,0.8329,1.2111,10,9.28,2,6,1,0,False
2023-01-16,WH-05,Antalya,18000,61.88,27,0.8221,1.2151,10,10.22,5,4,1,0,False
2023-01-16,WH-06,Adana,15000,60.91,23,0.7457,1.9623,6,11.1,5,3,1,0,False
2023-01-16,WH-07,Konya,12000,71.9,18,0.712,1.4701,5,10.97,0,6,1,0,False
2023-01-16,WH-08,Kocaeli,22000,58.18,33,0.8895,0.5183,9,9.28,2,7,1,0,False
2023-01-17,WH-01,İstanbul,50000,68.6,89,0.8499,1.2866,24,8.93,6,6,1,1,False
2023-01-17,WH-02,Ankara,30000,64.54,46,0.8139,2.3245,15,10.31,5,5,1,1,False
2023-01-17,WH-03,İzmir,25000,61.21,48,0.8545,1.5728,12,9.22,2,4,1,1,False
2023-01-17,WH-04,Bursa,20000,74.59,38,0.7669,2.5431,11,11.03,4,5,1,1,False
2023-01-17,WH-05,Antalya,18000,77.41,30,0.8165,1.7575,9,9.26,5,2,1,1,False
2023-01-17,WH-06,Adana,15000,71.18,20,0.7827,1.7174,6,9.66,4,6,1,1,False
2023-01-17,WH-07,Konya,12000,70.61,18,0.8072,1.5305,6,10.47,5,4,1,1,False
2023-01-17,WH-08,Kocaeli,22000,67.95,34,0.8847,1.4737,11,8.8,5,7,1,1,False
2023-01-18,WH-01,İstanbul,50000,51.42,76,0.8788,1.403,26,9.57,6,6,1,2,False
2023-01-18,WH-02,Ankara,30000,76.13,33,0.864,0.6276,14,9.98,2,6,1,2,False
2023-01-18,WH-03,İzmir,25000,60.3,37,0.8275,2.6976,12,9.53,3,5,1,2,False
2023-01-18,WH-04,Bursa,20000,64.28,34,0.8663,1.3599,9,9.48,1,3,1,2,False
2023-01-18,WH-05,Antalya,18000,71.41,28,0.8389,2.3951,9,8.58,2,6,1,2,False
2023-01-18,WH-06,Adana,15000,62.91,24,0.7093,2.6712,7,10.88,3,1,1,2,False
2023-01-18,WH-07,Konya,12000,76.17,15,0.7552,1.563,6,10.38,0,3,1,2,False
2023-01-18,WH-08,Kocaeli,22000,67.51,34,0.7831,1.7896,10,9.85,1,2,1,2,False
2023-01-19,WH-01,İstanbul,50000,63.26,68,0.8594,1.4504,24,9.35,7,8,1,3,False
2023-01-19,WH-02,Ankara,30000,61.29,48,0.7901,2.7858,14,10.02,6,3,1,3,False
2023-01-19,WH-03,İzmir,25000,80.1,44,0.8934,0.6579,12,9.25,5,7,1,3,False
2023-01-19,WH-04,Bursa,20000,68.36,38,0.8439,0.7419,8,10.16,6,3,1,3,False
2023-01-19,WH-05,Antalya,18000,68.58,29,0.8222,1.8485,9,10.05,6,1,1,3,False
2023-01-19,WH-06,Adana,15000,66.67,23,0.7875,1.2309,5,10.2,5,4,1,3,False
2023-01-19,WH-07,Konya,12000,70.8,19,0.7333,1.7444,6,11.58,0,5,1,3,False
2023-01-19,WH-08,Kocaeli,22000,53.37,35,0.8683,0.1,10,8.21,5,3,1,3,False
2023-01-20,WH-01,İstanbul,50000,69.09,82,0.8614,1.6829,25,8.72,9,9,1,4,False
2023-01-20,WH-02,Ankara,30000,70.51,56,0.8582,1.4891,15,8.83,3,7,1,4,False
2023-01-20,WH-03,İzmir,25000,63.83,46,0.8742,2.1216,13,9.29,7,4,1,4,False
2023-01-20,WH-04,Bursa,20000,61.66,34,0.7603,1.9407,9,10.68,5,6,1,4,False
2023-01-20,WH-05,Antalya,18000,66.77,29,0.8274,1.4593,7,9.25,2,4,1,4,False
2023-01-20,WH-06,Adana,15000,71.02,27,0.7338,2.1148,7,11.76,3,2,1,4,False
2023-01-20,WH-07,Konya,12000,63.41,21,0.7289,2.2403,7,11.05,2,6,1,4,False
2023-01-20,WH-08,Kocaeli,22000,53.63,39,0.9078,1.4058,10,8.76,2,7,1,4,False
2023-01-21,WH-01,İstanbul,50000,88.56,58,0.8016,1.3314,24,10.5,7,4,1,5,True
2023-01-21,WH-02,Ankara,30000,60.9,32,0.7775,2.2855,14,9.71,6,2,1,5,True
2023-01-21,WH-03,İzmir,25000,61.6,24,0.841,0.7496,10,10.7,4,1,1,5,True
2023-01-21,WH-04,Bursa,20000,61.71,21,0.8413,1.3496,9,8.55,1,3,1,5,True
2023-01-21,WH-05,Antalya,18000,63.54,17,0.7867,0.7906,11,11.37,1,1,1,5,True
2023-01-21,WH-06,Adana,15000,65.2,16,0.7431,2.3448,6,11.39,2,6,1,5,True
2023-01-21,WH-07,Konya,12000,58.2,13,0.7194,2.7299,6,10.56,3,3,1,5,True
2023-01-21,WH-08,Kocaeli,22000,63.77,22,0.8589,1.0929,11,9.39,4,2,1,5,True
2023-01-22,WH-01,İstanbul,50000,58.95,37,0.875,0.9854,24,8.57,1,5,1,6,True
2023-01-22,WH-02,Ankara,30000,79.24,25,0.8273,2.0986,15,8.98,5,2,1,6,True
2023-01-22,WH-03,İzmir,25000,62.28,19,0.8643,1.8712,11,9.45,5,1,1,6,True
2023-01-22,WH-04,Bursa,20000,75.83,16,0.8596,0.5659,8,9.69,0,2,1,6,True
2023-01-22,WH-05,Antalya,18000,57.13,12,0.8257,1.21,10,9.47,4,2,1,6,True
2023-01-22,WH-06,Adana,15000,64.49,10,0.7827,1.8845,8,10.31,3,1,1,6,True
2023-01-22,WH-07,Konya,12000,77.07,10,0.7579,1.7304,6,10.67,5,4,1,6,True
2023-01-22,WH-08,Kocaeli,22000,66.46,16,0.8214,1.251,11,9.48,3,6,1,6,True
2023-01-23,WH-01,İstanbul,50000,64.67,75,0.8558,0.4924,23,9.55,5,6,1,0,False
2023-01-23,WH-02,Ankara,30000,67.51,49,0.811,0.755,14,9.7,2,8,1,0,False
2023-01-23,WH-03,İzmir,25000,51.01,43,0.7807,2.4791,12,9.81,7,4,1,0,False
2023-01-23,WH-04,Bursa,20000,61.63,32,0.8387,1.0368,8,9.78,5,2,1,0,False
2023-01-23,WH-05,Antalya,18000,69.24,35,0.7923,1.5549,8,9.89,6,6,1,0,False
2023-01-23,WH-06,Adana,15000,74.5,25,0.797,1.7095,7,10.06,2,4,1,0,False
2023-01-23,WH-07,Konya,12000,65.38,20,0.7419,1.6344,5,10.44,2,1,1,0,False
2023-01-23,WH-08,Kocaeli,22000,62.55,37,0.9375,0.6942,12,9.28,4,6,1,0,False
2023-01-24,WH-01,İstanbul,50000,64.67,82,0.843,0.9548,25,9.62,5,6,1,1,False
2023-01-24,WH-02,Ankara,30000,63.34,44,0.8299,1.3733,14,9.61,2,3,1,1,False
2023-01-24,WH-03,İzmir,25000,65.15,29,0.8183,1.6357,12,10.15,2,6,1,1,False
2023-01-24,WH-04,Bursa,20000,78.76,33,0.7705,1.7729,7,10.63,5,6,1,1,False
2023-01-24,WH-05,Antalya,18000,61.23,27,0.798,1.0895,10,9.9,6,4,1,1,False
2023-01-24,WH-06,Adana,15000,63.97,23,0.7877,1.0975,7,9.9,6,6,1,1,False
2023-01-24,WH-07,Konya,12000,72.04,17,0.732,2.4513,6,10.76,1,5,1,1,False
2023-01-24,WH-08,Kocaeli,22000,61.13,35,0.8594,1.3615,10,9.53,2,5,1,1,False
2023-01-25,WH-01,İstanbul,50000,53.09,77,0.8476,0.8733,24,8.96,7,5,1,2,False
2023-01-25,WH-02,Ankara,30000,73.48,49,0.7964,1.052,14,10.71,4,4,1,2,False
2023-01-25,WH-03,İzmir,25000,59.6,45,0.7818,1.0022,10,10.44,4,6,1,2,False
2023-01-25,WH-04,Bursa,20000,66.74,30,0.8638,1.9042,10,9.63,4,6,1,2,False
2023-01-25,WH-05,Antalya,18000,60.93,23,0.8315,1.0728,10,9.68,2,6,1,2,False
2023-01-25,WH-06,Adana,15000,58.03,24,0.7829,1.4171,7,10.2,3,4,1,2,False
2023-01-25,WH-07,Konya,12000,71.66,20,0.687,2.0986,5,11.99,5,6,1,2,False
2023-01-25,WH-08,Kocaeli,22000,56.29,31,0.8191,1.8112,8,10.29,4,4,1,2,False
2023-01-26,WH-01,İstanbul,50000,61.42,68,0.8349,0.8609,24,9.51,7,4,1,3,False
2023-01-26,WH-02,Ankara,30000,61.76,39,0.8231,1.6492,12,9.48,3,6,1,3,False
2023-01-26,WH-03,İzmir,25000,60.93,31,0.8371,1.6179,12,9.05,6,6,1,3,False
2023-01-26,WH-04,Bursa,20000,70.24,32,0.8076,1.9258,10,9.77,2,6,1,3,False
2023-01-26,WH-05,Antalya,18000,52.36,28,0.7942,1.2234,9,9.87,1,3,1,3,False
2023-01-26,WH-06,Adana,15000,74.53,24,0.7638,2.3897,5,11.19,6,2,1,3,False
2023-01-26,WH-07,Konya,12000,54.97,16,0.7318,1.9237,5,10.37,0,4,1,3,False
2023-01-26,WH-08,Kocaeli,22000,54.19,22,0.8402,2.0233,11,9.68,1,1,1,3,False
2023-01-27,WH-01,İstanbul,50000,50.66,104,0.868,2.074,24,8.8,5,11,1,4,False
2023-01-27,WH-02,Ankara,30000,60.55,55,0.8578,1.5535,14,9.82,5,8,1,4,False
2023-01-27,WH-03,İzmir,25000,66.06,42,0.8676,0.8648,13,9.26,4,7,1,4,False
2023-01-27,WH-04,Bursa,20000,54.47,35,0.8107,1.5961,10,10.57,5,3,1,4,False
2023-01-27,WH-05,Antalya,18000,58.39,27,0.7531,2.222,10,10.54,3,3,1,4,False
2023-01-27,WH-06,Adana,15000,66.06,26,0.7459,1.4219,8,10.8,4,5,1,4,False
2023-01-27,WH-07,Konya,12000,89.04,19,0.7197,1.3863,6,10.19,5,2,1,4,False
2023-01-27,WH-08,Kocaeli,22000,68.52,39,0.9014,0.2877,10,8.84,4,3,1,4,False
2023-01-28,WH-01,İstanbul,50000,68.47,57,0.8856,1.5249,24,9.77,7,6,1,5,True
2023-01-28,WH-02,Ankara,30000,72.16,31,0.8051,1.8564,16,9.4,6,2,1,5,True
2023-01-28,WH-03,İzmir,25000,66.43,28,0.9112,0.5788,12,8.7,5,4,1,5,True
2023-01-28,WH-04,Bursa,20000,47.53,22,0.7877,2.0328,10,9.15,5,6,1,5,True
2023-01-28,WH-05,Antalya,18000,61.86,17,0.7754,2.2622,10,9.2,5,1,1,5,True
2023-01-28,WH-06,Adana,15000,65.91,15,0.7156,2.9021,7,11.61,4,2,1,5,True
2023-01-28,WH-07,Konya,12000,58.77,12,0.7229,2.1616,5,11.52,5,3,1,5,True
2023-01-28,WH-08,Kocaeli,22000,69.66,29,0.8016,1.6649,9,9.78,2,1,1,5,True
2023-01-29,WH-01,İstanbul,50000,62.93,37,0.8389,1.5494,23,9.73,6,5,1,6,True
2023-01-29,WH-02,Ankara,30000,67.23,20,0.7797,1.8785,16,9.96,1,5,1,6,True
2023-01-29,WH-03,İzmir,25000,68.46,17,0.8563,0.4585,13,9.75,2,1,1,6,True
2023-01-29,WH-04,Bursa,20000,69.37,16,0.8866,0.1,11,8.83,1,3,1,6,True
2023-01-29,WH-05,Antalya,18000,59.28,12,0.8053,1.9579,8,10.07,2,4,1,6,True
2023-01-29,WH-06,Adana,15000,59.64,14,0.7482,2.7246,5,10.82,4,4,1,6,True
2023-01-29,WH-07,Konya,12000,53.96,10,0.7043,1.9274,5,11.46,4,3,1,6,True
2023-01-29,WH-08,Kocaeli,22000,81.31,18,0.8291,1.7313,12,9.71,2,6,1,6,True
2023-01-30,WH-01,İstanbul,50000,68.68,88,0.8838,0.5616,23,8.88,7,7,1,0,False
2023-01-30,WH-02,Ankara,30000,62.78,45,0.8488,1.9271,15,8.83,4,5,1,0,False
2023-01-30,WH-03,İzmir,25000,58.82,39,0.8537,0.9369,12,8.95,5,6,1,0,False
2023-01-30,WH-04,Bursa,20000,53.22,40,0.8392,0.4814,11,9.56,4,6,1,0,False
2023-01-30,WH-05,Antalya,18000,57.82,30,0.8226,1.7408,8,9.72,2,4,1,0,False
2023-01-30,WH-06,Adana,15000,57.25,22,0.7415,1.9307,7,10.77,1,3,1,0,False
2023-01-30,WH-07,Konya,12000,71.07,18,0.7727,2.2753,6,9.1,4,4,1,0,False
2023-01-30,WH-08,Kocaeli,22000,53.09,32,0.8068,2.1174,12,9.92,4,6,1,0,False
2023-01-31,WH-01,İstanbul,50000,62.13,82,0.9051,0.8993,24,9.12,4,6,1,1,False
2023-01-31,WH-02,Ankara,30000,66.56,46,0.8408,3.1537,16,9.59,2,7,1,1,False
2023-01-31,WH-03,İzmir,25000,46.97,35,0.8885,1.4517,11,8.96,2,3,1,1,False
2023-01-31,WH-04,Bursa,20000,69.75,32,0.8796,0.3114,10,9.2,2,4,1,1,False
2023-01-31,WH-05,Antalya,18000,71.45,26,0.7867,1.6665,9,9.94,6,4,1,1,False
2023-01-31,WH-06,Adana,15000,61.82,25,0.8107,1.6285,6,10.02,5,3,1,1,False
2023-01-31,WH-07,Konya,12000,52.4,20,0.778,1.946,5,9.94,2,4,1,1,False
2023-01-31,WH-08,Kocaeli,22000,57.93,35,0.8003,1.2409,10,10.3,2,2,1,1,False
2023-02-01,WH-01,İstanbul,50000,55.84,68,0.8502,1.209,25,9.82,6,9,2,2,False
2023-02-01,WH-02,Ankara,30000,65.41,36,0.8432,0.8178,16,9.24,5,4,2,2,False
2023-02-01,WH-03,İzmir,25000,70.53,38,0.8294,1.3731,13,9.38,4,2,2,2,False
2023-02-01,WH-04,Bursa,20000,52.95,28,0.8408,1.0714,10,9.09,1,1,2,2,False
2023-02-01,WH-05,Antalya,18000,62.2,26,0.7109,2.357,10,10.71,1,6,2,2,False
2023-02-01,WH-06,Adana,15000,75.6,19,0.7767,1.622,7,9.99,5,6,2,2,False
2023-02-01,WH-07,Konya,12000,72.09,20,0.7913,1.7158,5,10.36,1,4,2,2,False
2023-02-01,WH-08,Kocaeli,22000,75.38,34,0.8094,1.6308,9,9.59,3,7,2,2,False
2023-02-02,WH-01,İstanbul,50000,75.65,77,0.8767,0.4127,25,8.7,8,7,2,3,False
2023-02-02,WH-02,Ankara,30000,65.72,42,0.7999,1.919,15,10.52,7,2,2,3,False
2023-02-02,WH-03,İzmir,25000,63.85,41,0.8132,0.9292,13,10.65,7,5,2,3,False
2023-02-02,WH-04,Bursa,20000,60.32,33,0.8806,0.87,10,9.5,3,4,2,3,False
2023-02-02,WH-05,Antalya,18000,69.33,29,0.8313,1.3566,8,9.46,4,2,2,3,False
2023-02-02,WH-06,Adana,15000,42.61,19,0.7912,1.553,7,10.41,5,5,2,3,False
2023-02-02,WH-07,Konya,12000,72.56,17,0.7721,1.347,7,10.79,0,4,2,3,False
2023-02-02,WH-08,Kocaeli,22000,59.81,29,0.8227,1.7322,10,8.48,2,4,2,3,False
2023-02-03,WH-01,İstanbul,50000,61.95,76,0.8732,0.2451,25,9.91,8,8,2,4,False
2023-02-03,WH-02,Ankara,30000,69.72,49,0.8669,1.0175,14,9.4,7,4,2,4,False
