delivery_id,order_id,warehouse_id,driver_id,origin_city,destination_city,pickup_date,promised_delivery_date,actual_delivery_date,promised_days,actual_days,delay_days,is_delayed,delay_reason,delivery_cost_tl,delivery_status,customer_satisfaction,priority,weight_kg
DEL-000016,ORD-000016,WH-07,DRV-087,Konya,İstanbul,2023-09-29,2023-10-06,2023-10-06,7,7,0,False,,2.57,Zamanında Teslim,4.0,Economy,1.63
DEL-000017,ORD-000017,WH-02,DRV-005,Ankara,Ankara,2024-02-13,2024-02-20,2024-02-20,7,7,0,False,,10.83,Zamanında Teslim,4.5,Economy,6.19
DEL-000018,ORD-000018,WH-07,DRV-037,Konya,İstanbul,2023-04-23,2023-04-30,2023-04-30,7,7,0,False,,32.68,Zamanında Teslim,4.9,Economy,20.75
DEL-000019,ORD-000019,WH-05,DRV-090,Antalya,Ankara,2023-03-08,2023-03-15,2023-03-15,7,7,0,False,,12.7,Zamanında Teslim,4.5,Economy,7.26
DEL-000020,ORD-000020,WH-05,DRV-042,Antalya,Konya,2023-01-13,2023-01-20,2023-01-21,7,8,1,True,Hava Koşulları,3.5,Gecikmeli Teslim,3.1,Economy,2.0
DEL-000021,ORD-000021,WH-05,DRV-056,Antalya,Ankara,2023-04-25,2023-04-28,2023-05-02,3,7,4,True,Yüksek Sipariş Hacmi,41.9,Gecikmeli Teslim,2.5,Standard,16.76
DEL-000022,ORD-000022,WH-05,DRV-072,Antalya,Bursa,2023-07-03,2023-07-10,2023-07-10,7,7,0,False,,1.46,Zamanında Teslim,4.2,Economy,0.93
DEL-000023,ORD-000023,WH-01,DRV-067,İstanbul,İstanbul,2024-09-15,2024-09-22,2024-09-22,7,7,0,False,,5.51,Zamanında Teslim,3.3,Economy,3.5
DEL-000024,ORD-000024,WH-05,DRV-043,Antalya,İzmir,2023-11-28,2023-12-05,2023-12-05,7,7,0,False,,2.26,Zamanında Teslim,4.3,Economy,1.29
DEL-000025,ORD-000025,WH-02,DRV-033,Ankara,İstanbul,2023-03-01,2023-03-08,2023-03-08,7,7,0,False,,26.6,Zamanında Teslim,3.9,Economy,16.89
DEL-000026,ORD-000026,WH-03,DRV-057,İzmir,Kocaeli,2023-03-12,2023-03-19,2023-03-20,7,8,1,True,Yol Çalışması,1.35,Gecikmeli Teslim,2.4,Economy,0.86
DEL-000027,ORD-000027,WH-07,DRV-087,Konya,İstanbul,2024-07-16,2024-07-23,2024-07-23,7,7,0,False,,2.03,Zamanında Teslim,5.0,Economy,1.29
DEL-000028,ORD-000028,WH-07,DRV-058,Konya,Kayseri,2024-07-07,2024-07-10,2024-07-10,3,3,0,False,,107.55,Zamanında Teslim,3.9,Standard,43.02
DEL-000029,ORD-000029,WH-04,DRV-114,Bursa,Eskişehir,2024-03-24,2024-03-25,2024-03-25,1,1,0,False,,63.19,Zamanında Teslim,4.5,Express,10.11
DEL-000030,ORD-000030,WH-04,DRV-101,Bursa,İstanbul,2023-12-13,2023-12-16,2023-12-16,3,3,0,False,,3.4,Zamanında Teslim,4.7,Standard,1.51
DEL-000031,ORD-000031,WH-01,DRV-093,İstanbul,Konya,2023-03-15,2023-03-16,2023-03-17,1,2,1,True,Adres Bulunamadı,85.94,Gecikmeli Teslim,3.3,Express,13.75
DEL-000032,ORD-000032,WH-04,DRV-076,Bursa,Bursa,2023-03-15,2023-03-18,2023-03-18,3,3,0,False,,6.43,Zamanında Teslim,5.0,Standard,2.86
DEL-000033,ORD-000033,WH-04,DRV-003,Bursa,Gaziantep,2023-05-16,2023-05-19,2023-05-19,3,3,0,False,,115.95,Zamanında Teslim,4.6,Standard,33.13
DEL-000034,ORD-000034,WH-06,DRV-017,Adana,İstanbul,2024-02-21,2024-02-24,2024-02-24,3,3,0,False,,9.29,Zamanında Teslim,4.6,Standard,4.13
DEL-000035,ORD-000035,WH-02,DRV-051,Ankara,İzmir,2024-02-25,2024-02-28,2024-02-28,3,3,0,False,,7.85,Zamanında Teslim,5.0,Standard,3.14
DEL-000036,ORD-000036,WH-04,DRV-047,Bursa,Gaziantep,2024-02-17,2024-02-18,2024-02-19,1,2,1,True,Hava Koşulları,31.5,Gecikmeli Teslim,3.0,Express,3.6
DEL-000037,ORD-000037,WH-04,DRV-037,Bursa,İstanbul,2024-04-04,2024-04-07,2024-04-07,3,3,0,False,,16.58,Zamanında Teslim,5.0,Standard,7.37
DEL-000038,ORD-000038,WH-01,DRV-047,İstanbul,Trabzon,2024-03-29,2024-03-30,2024-03-30,1,1,0,False,,19.57,Zamanında Teslim,4.1,Express,1.74
DEL-000039,ORD-000039,WH-07,DRV-095,Konya,İstanbul,2023-08-31,2023-09-03,2023-09-03,3,3,0,False,,21.92,Zamanında Teslim,4.1,Standard,9.74
DEL-000040,ORD-000040,WH-08,DRV-043,Kocaeli,Ankara,2023-06-19,2023-06-20,2023-06-20,1,1,0,False,,134.81,Zamanında Teslim,4.5,Express,21.57
DEL-000041,ORD-000041,WH-08,DRV-076,Kocaeli,Konya,2024-03-09,2024-03-16,2024-03-16,7,7,0,False,,3.22,Zamanında Teslim,4.7,Economy,1.84
DEL-000042,ORD-000042,WH-01,DRV-093,İstanbul,Ankara,2023-07-15,2023-07-18,2023-07-18,3,3,0,False,,6.0,Zamanında Teslim,5.0,Standard,2.4
DEL-000043,ORD-000043,WH-03,DRV-063,İzmir,İstanbul,2023-03-01,2023-03-04,2023-03-04,3,3,0,False,,28.84,Zamanında Teslim,4.4,Standard,12.82
DEL-000044,ORD-000044,WH-02,DRV-039,Ankara,İstanbul,2024-06-05,2024-06-06,2024-06-06,1,1,0,False,,55.29,Zamanında Teslim,5.0,Express,9.83
DEL-000045,ORD-000045,WH-01,DRV-107,İstanbul,İstanbul,2024-02-18,2024-02-21,2024-02-21,3,3,0,False,,12.29,Zamanında Teslim,4.4,Standard,5.46
DEL-000046,ORD-000046,WH-05,DRV-046,Antalya,Adana,2024-03-05,2024-03-08,2024-03-08,3,3,0,False,,50.85,Zamanında Teslim,5.0,Standard,14.53
DEL-000047,ORD-000047,WH-03,DRV-069,İzmir,Gaziantep,2024-11-16,2024-11-19,2024-11-19,3,3,0,False,,141.96,Zamanında Teslim,3.8,Standard,40.56
DEL-000048,ORD-000048,WH-02,DRV-117,Ankara,Ankara,2024-04-14,2024-04-15,2024-04-15,1,1,0,False,,7.62,Zamanında Teslim,3.5,Express,1.22
DEL-000049,ORD-000049,WH-06,DRV-104,Adana,İstanbul,2024-07-05,2024-07-08,2024-07-08,3,3,0,False,,3.6,Zamanında Teslim,4.5,Standard,1.6
DEL-000050,ORD-000050,WH-05,DRV-035,Antalya,Ankara,2023-09-08,2023-09-11,2023-09-12,3,4,1,True,Adres Bulunamadı,15.75,Gecikmeli Teslim,4.0,Standard,6.3
DEL-000051,ORD-000051,WH-02,DRV-078,Ankara,Adana,2023-01-10,2023-01-13,2023-01-13,3,3,0,False,,14.17,Zamanında Teslim,4.8,Standard,4.05
DEL-000052,ORD-000052,WH-03,DRV-019,İzmir,İstanbul,2023-09-28,2023-10-05,2023-10-05,7,7,0,False,,1.59,Zamanında Teslim,5.0,Economy,1.01
DEL-000053,ORD-000053,WH-05,DRV-081,Antalya,Antalya,2023-10-16,2023-10-19,2023-10-19,3,3,0,False,,17.4,Zamanında Teslim,4.2,Standard,6.96
DEL-000054,ORD-000054,WH-07,DRV-068,Konya,İstanbul,2024-05-16,2024-05-17,2024-05-17,1,1,0,False,,29.42,Zamanında Teslim,4.6,Express,5.23
DEL-000055,ORD-000055,WH-05,DRV-032,Antalya,İstanbul,2023-02-16,2023-02-23,2023-02-27,7,11,4,True,Adres Bulunamadı,11.78,İptal,3.0,Economy,7.48
DEL-000056,ORD-000056,WH-02,DRV-004,Ankara,Bursa,2024-03-29,2024-04-01,2024-04-01,3,3,0,False,,47.34,Zamanında Teslim,5.0,Standard,21.04
DEL-000057,ORD-000057,WH-06,DRV-082,Adana,Mersin,2024-12-09,2024-12-10,2024-12-10,1,1,0,False,,14.19,Zamanında Teslim,4.4,Express,2.27
DEL-000058,ORD-000058,WH-06,DRV-089,Adana,İstanbul,2024-07-20,2024-07-21,2024-07-21,1,1,0,False,,189.0,Zamanında Teslim,4.4,Express,33.6
DEL-000059,ORD-000059,WH-06,DRV-025,Adana,İstanbul,2024-01-03,2024-01-06,2024-01-06,3,3,0,False,,211.66,Zamanında Teslim,5.0,Standard,94.07
DEL-000060,ORD-000060,WH-04,DRV-055,Bursa,Kocaeli,2024-02-22,2024-02-29,2024-03-01,7,8,1,True,Trafik Yoğunluğu,13.34,Gecikmeli Teslim,3.3,Economy,8.47
DEL-000061,ORD-000061,WH-06,DRV-012,Adana,Eskişehir,2023-07-02,2023-07-03,2023-07-03,1,1,0,False,,16.19,Zamanında Teslim,3.9,Express,2.59
DEL-000062,ORD-000062,WH-02,DRV-017,Ankara,Diyarbakır,2024-11-16,2024-11-17,2024-11-17,1,1,0,False,,771.3,Zamanında Teslim,4.3,Express,68.56
DEL-000063,ORD-000063,WH-08,DRV-068,Kocaeli,Erzurum,2023-02-09,2023-02-10,2023-02-10,1,1,0,False,,860.4,Zamanında Teslim,4.4,Express,76.48
DEL-000064,ORD-000064,WH-04,DRV-050,Bursa,Samsun,2023-11-10,2023-11-11,2023-11-11,1,1,0,False,,939.22,Zamanında Teslim,4.6,Express,107.34
DEL-000065,ORD-000065,WH-05,DRV-090,Antalya,İstanbul,2023-12-04,2023-12-11,2023-12-11,7,7,0,False,,3.12,Zamanında Teslim,4.6,Economy,1.98
DEL-000066,ORD-000066,WH-01,DRV-118,İstanbul,Bursa,2024-10-18,2024-10-21,2024-10-21,3,3,0,False,,3.33,Zamanında Teslim,4.1,Standard,1.48
DEL-000067,ORD-000067,WH-07,DRV-115,Konya,İstanbul,2023-09-25,2023-09-26,2023-09-26,1,1,0,False,,37.01,Zamanında Teslim,4.0,Express,6.58
DEL-000068,ORD-000068,WH-04,DRV-025,Bursa,İzmir,2023-11-18,2023-11-21,2023-11-21,3,3,0,False,,4.5,Zamanında Teslim,4.6,Standard,1.8
DEL-000069,ORD-000069,WH-04,DRV-016,Bursa,Konya,2023-02-16,2023-02-19,2023-02-19,3,3,0,False,,4.5,Zamanında Teslim,4.2,Standard,1.8
DEL-000070,ORD-000070,WH-02,DRV-055,Ankara,İstanbul,2024-03-18,2024-03-25,2024-03-25,7,7,0,False,,3.72,İptal,4.4,Economy,2.36
DEL-000071,ORD-000071,WH-05,DRV-023,Antalya,Ankara,2024-06-03,2024-06-06,2024-06-06,3,3,0,False,,60.95,Zamanında Teslim,4.1,Standard,24.38
DEL-000072,ORD-000072,WH-03,DRV-111,İzmir,İstanbul,2023-05-11,2023-05-14,2023-05-15,3,4,1,True,Depo Gecikme,56.07,Gecikmeli Teslim,3.0,Standard,24.92
DEL-000073,ORD-000073,WH-04,DRV-120,Bursa,İzmir,2023-11-06,2023-11-07,2023-11-07,1,1,0,False,,38.19,Zamanında Teslim,4.5,Express,6.11
DEL-000074,ORD-000074,WH-08,DRV-008,Kocaeli,Antalya,2024-08-16,2024-08-19,2024-08-19,3,3,0,False,,3.88,Zamanında Teslim,4.7,Standard,1.55
DEL-000075,ORD-000075,WH-05,DRV-113,Antalya,İzmir,2024-06-08,2024-06-15,2024-06-15,7,7,0,False,,14.65,Zamanında Teslim,4.5,Economy,8.37
DEL-000076,ORD-000076,WH-04,DRV-093,Bursa,Adana,2024-11-10,2024-11-11,2024-11-12,1,2,1,True,Adres Bulunamadı,119.52,Gecikmeli Teslim,4.2,Express,13.66
DEL-000077,ORD-000077,WH-04,DRV-009,Bursa,Trabzon,2023-08-20,2023-08-21,2023-08-21,1,1,0,False,,422.77,Zamanında Teslim,4.4,Express,37.58
DEL-000078,ORD-000078,WH-04,DRV-119,Bursa,Erzurum,2024-09-17,2024-09-20,2024-09-20,3,3,0,False,,7.83,Zamanında Teslim,5.0,Standard,1.74
DEL-000079,ORD-000079,WH-01,DRV-117,İstanbul,Ankara,2024-05-22,2024-05-29,2024-05-29,7,7,0,False,,44.55,Zamanında Teslim,4.3,Economy,25.46
DEL-000080,ORD-000080,WH-04,DRV-073,Bursa,İstanbul,2024-03-12,2024-03-15,2024-03-15,3,3,0,False,,17.87,Zamanında Teslim,4.2,Standard,7.94
DEL-000081,ORD-000081,WH-06,DRV-039,Adana,İstanbul,2024-04-13,2024-04-16,2024-04-16,3,3,0,False,,102.55,Zamanında Teslim,4.9,Standard,45.58
DEL-000082,ORD-000082,WH-08,DRV-012,Kocaeli,Samsun,2024-09-20,2024-09-23,2024-09-23,3,3,0,False,,17.71,Zamanında Teslim,4.4,Standard,5.06
DEL-000083,ORD-000083,WH-05,DRV-063,Antalya,İzmir,2024-05-01,2024-05-08,2024-05-08,7,7,0,False,,81.36,Zamanında Teslim,4.9,Economy,46.49
DEL-000084,ORD-000084,WH-05,DRV-071,Antalya,Adana,2024-05-12,2024-05-15,2024-05-15,3,3,0,False,,4.09,Zamanında Teslim,4.7,Standard,1.17
DEL-000085,ORD-000085,WH-03,DRV-080,İzmir,Ankara,2023-10-06,2023-10-07,2023-10-07,1,1,0,False,,10.31,Zamanında Teslim,4.1,Express,1.65
DEL-000086,ORD-000086,WH-07,DRV-051,Konya,Konya,2024-01-28,2024-01-29,2024-01-29,1,1,0,False,,254.69,Zamanında Teslim,4.5,Express,40.75
DEL-000087,ORD-000087,WH-07,DRV-016,Konya,İzmir,2024-07-09,2024-07-10,2024-07-10,1,1,0,False,,20.5,Zamanında Teslim,4.0,Express,3.28
DEL-000088,ORD-000088,WH-07,DRV-010,Konya,Kocaeli,2024-08-22,2024-08-29,2024-08-29,7,7,0,False,,3.35,Zamanında Teslim,5.0,Economy,2.13
DEL-000089,ORD-000089,WH-07,DRV-100,Konya,Kocaeli,2023-01-07,2023-01-14,2023-01-14,7,7,0,False,,1.86,Zamanında Teslim,4.2,Economy,1.18
DEL-000090,ORD-000090,WH-05,DRV-064,Antalya,Trabzon,2024-07-13,2024-07-14,2024-07-14,1,1,0,False,,602.44,Zamanında Teslim,3.6,Express,53.55
DEL-000091,ORD-000091,WH-07,DRV-028,Konya,İstanbul,2024-05-13,2024-05-20,2024-05-20,7,7,0,False,,6.46,Zamanında Teslim,4.1,Economy,4.1
DEL-000092,ORD-000092,WH-07,DRV-104,Konya,Mersin,2024-04-23,2024-04-30,2024-04-30,7,7,0,False,,12.53,Zamanında Teslim,5.0,Economy,7.16
DEL-000093,ORD-000093,WH-03,DRV-056,İzmir,Adana,2024-07-31,2024-08-07,2024-08-07,7,7,0,False,,2.74,Zamanında Teslim,4.6,Economy,1.12
DEL-000094,ORD-000094,WH-08,DRV-088,Kocaeli,İstanbul,2023-07-07,2023-07-10,2023-07-10,3,3,0,False,,15.23,Zamanında Teslim,4.5,Standard,6.77
DEL-000095,ORD-000095,WH-07,DRV-086,Konya,Kayseri,2023-12-12,2023-12-15,2023-12-15,3,3,0,False,,26.88,Zamanında Teslim,3.8,Standard,10.75
DEL-000096,ORD-000096,WH-06,DRV-068,Adana,İzmir,2023-03-25,2023-03-26,2023-03-27,1,2,1,True,Yüksek Sipariş Hacmi,7.81,Gecikmeli Teslim,4.3,Express,1.25
DEL-000097,ORD-000097,WH-04,DRV-050,Bursa,İstanbul,2024-10-28,2024-10-31,2024-11-06,3,9,6,True,Hava Koşulları,5.35,Gecikmeli Teslim,2.4,Standard,2.38
DEL-000098,ORD-000098,WH-02,DRV-011,Ankara,Adana,2023-01-22,2023-01-23,2023-01-23,1,1,0,False,,138.51,Zamanında Teslim,4.1,Express,15.83
DEL-000099,ORD-000099,WH-03,DRV-032,İzmir,İzmir,2023-08-13,2023-08-20,2023-08-20,7,7,0,False,,0.84,Zamanında Teslim,3.8,Economy,0.48
DEL-000100,ORD-000100,WH-03,DRV-071,İzmir,Kocaeli,2024-09-14,2024-09-21,2024-09-21,7,7,0,False,,1.72,Zamanında Teslim,4.8,Economy,1.09
DEL-000101,ORD-000101,WH-07,DRV-106,Konya,Antalya,2023-04-22,2023-04-29,2023-04-29,7,7,0,False,,1.42,Zamanında Teslim,4.9,Economy,0.81
DEL-000102,ORD-000102,WH-05,DRV-100,Antalya,İstanbul,2023-07-24,2023-07-25,2023-07-26,1,2,1,True,Yüksek Sipariş Hacmi,610.31,Gecikmeli Teslim,3.7,Express,108.5
DEL-000103,ORD-000103,WH-06,DRV-109,Adana,Trabzon,2023-05-04,2023-05-11,2023-05-11,7,7,0,False,,19.66,Zamanında Teslim,4.3,Economy,6.24
DEL-000104,ORD-000104,WH-06,DRV-049,Adana,Adana,2024-03-14,2024-03-21,2024-03-21,7,7,0,False,,3.01,Zamanında Teslim,4.8,Economy,1.23
DEL-000105,ORD-000105,WH-06,DRV-119,Adana,Samsun,2024-03-07,2024-03-10,2024-03-18,3,11,8,True,Depo Gecikme,3.67,Gecikmeli Teslim,1.5,Standard,1.05
DEL-000106,ORD-000106,WH-05,DRV-018,Antalya,İstanbul,2024-12-25,2025-01-01,2025-01-01,7,7,0,False,,12.22,Zamanında Teslim,5.0,Economy,7.76
DEL-000107,ORD-000107,WH-04,DRV-115,Bursa,İzmir,2024-05-10,2024-05-13,2024-05-14,3,4,1,True,Alıcı Mevcut Değil,88.03,Gecikmeli Teslim,3.4,Standard,35.21
DEL-000108,ORD-000108,WH-07,DRV-003,Konya,Eskişehir,2023-10-14,2023-10-21,2023-10-22,7,8,1,True,Alıcı Mevcut Değil,69.47,Gecikmeli Teslim,3.3,Economy,39.7
DEL-000109,ORD-000109,WH-04,DRV-085,Bursa,Bursa,2023-01-30,2023-02-02,2023-02-02,3,3,0,False,,4.03,Zamanında Teslim,3.8,Standard,1.79
DEL-000110,ORD-000110,WH-05,DRV-012,Antalya,Ankara,2023-09-23,2023-09-26,2023-09-26,3,3,0,False,,75.58,Zamanında Teslim,4.2,Standard,30.23
DEL-000111,ORD-000111,WH-07,DRV-002,Konya,Bursa,2023-01-12,2023-01-13,2023-01-13,1,1,0,False,,281.08,Zamanında Teslim,4.5,Express,49.97
DEL-000112,ORD-000112,WH-08,DRV-071,Kocaeli,Kayseri,2024-07-22,2024-07-25,2024-07-25,3,3,0,False,,89.62,Zamanında Teslim,4.6,Standard,35.85
DEL-000113,ORD-000113,WH-04,DRV-090,Bursa,İstanbul,2023-01-18,2023-01-21,2023-01-21,3,3,0,False,,87.7,Zamanında Teslim,4.4,Standard,38.98
DEL-000114,ORD-000114,WH-06,DRV-029,Adana,Antalya,2024-11-10,2024-11-13,2024-11-13,3,3,0,False,,143.47,Zamanında Teslim,4.0,Standard,57.39
DEL-000115,ORD-000115,WH-05,DRV-120,Antalya,Ankara,2024-07-17,2024-07-20,2024-07-20,3,3,0,False,,55.1,Zamanında Teslim,4.2,Standard,22.04
DEL-000116,ORD-000116,WH-03,DRV-066,İzmir,Gaziantep,2023-05-05,2023-05-08,2023-05-08,3,3,0,False,,26.5,Zamanında Teslim,5.0,Standard,7.57
DEL-000117,ORD-000117,WH-05,DRV-021,Antalya,Gaziantep,2023-08-10,2023-08-17,2023-08-17,7,7,0,False,,1.86,Zamanında Teslim,5.0,Economy,0.76
DEL-000118,ORD-000118,WH-01,DRV-106,İstanbul,Ankara,2023-07-18,2023-07-21,2023-07-21,3,3,0,False,,4.0,Zamanında Teslim,4.9,Standard,1.6
DEL-000119,ORD-000119,WH-03,DRV-012,İzmir,İstanbul,2023-05-11,2023-05-14,2023-05-14,3,3,0,False,,46.66,Zamanında Teslim,4.1,Standard,20.74
DEL-000120,ORD-000120,WH-08,DRV-098,Kocaeli,Diyarbakır,2023-04-17,2023-04-20,2023-04-20,3,3,0,False,,23.36,Zamanında Teslim,4.4,Standard,5.19
DEL-000121,ORD-000121,WH-08,DRV-008,Kocaeli,İstanbul,2023-12-16,2023-12-17,2023-12-17,1,1,0,False,,32.46,Zamanında Teslim,4.4,Express,5.77
DEL-000122,ORD-000122,WH-01,DRV-017,İstanbul,İzmir,2023-03-08,2023-03-11,2023-03-11,3,3,0,False,,8.97,Zamanında Teslim,4.8,Standard,3.59
DEL-000123,ORD-000123,WH-04,DRV-103,Bursa,Samsun,2023-06-03,2023-06-04,2023-06-04,1,1,0,False,,4.11,Zamanında Teslim,4.7,Express,0.47
DEL-000124,ORD-000124,WH-04,DRV-016,Bursa,Kayseri,2024-07-25,2024-07-28,2024-08-02,3,8,5,True,Hava Koşulları,54.28,Gecikmeli Teslim,3.3,Standard,21.71
DEL-000125,ORD-000125,WH-07,DRV-094,Konya,İzmir,2024-01-26,2024-01-29,2024-01-29,3,3,0,False,,33.68,Zamanında Teslim,4.4,Standard,13.47
DEL-000126,ORD-000126,WH-02,DRV-024,Ankara,Adana,2024-08-05,2024-08-12,2024-08-14,7,9,2,True,Depo Gecikme,16.71,Gecikmeli Teslim,2.6,Economy,6.82
DEL-000127,ORD-000127,WH-03,DRV-092,İzmir,İstanbul,2024-10-03,2024-10-06,2024-10-08,3,5,2,True,Yüksek Sipariş Hacmi,2.99,Gecikmeli Teslim,2.9,Standard,1.33
DEL-000128,ORD-000128,WH-08,DRV-108,Kocaeli,İstanbul,2023-03-19,2023-03-22,2023-03-22,3,3,0,False,,7.99,Zamanında Teslim,5.0,Standard,3.55
DEL-000129,ORD-000129,WH-08,DRV-019,Kocaeli,İstanbul,2023-02-03,2023-02-06,2023-02-06,3,3,0,False,,4.68,Zamanında Teslim,4.8,Standard,2.08
DEL-000130,ORD-000130,WH-04,DRV-062,Bursa,İstanbul,2024-12-04,2024-12-11,2024-12-11,7,7,0,False,,1.34,Zamanında Teslim,4.5,Economy,0.85
DEL-000131,ORD-000131,WH-03,DRV-119,İzmir,Bursa,2023-04-28,2023-05-05,2023-05-05,7,7,0,False,,11.84,Zamanında Teslim,4.5,Economy,7.52
DEL-000132,ORD-000132,WH-05,DRV-043,Antalya,İstanbul,2023-03-03,2023-03-10,2023-03-10,7,7,0,False,,1.34,Zamanında Teslim,4.0,Economy,0.85
DEL-000133,ORD-000133,WH-05,DRV-002,Antalya,İzmir,2023-05-09,2023-05-16,2023-05-16,7,7,0,False,,3.08,Zamanında Teslim,4.7,Economy,1.76
DEL-000134,ORD-000134,WH-07,DRV-083,Konya,Bursa,2024-07-07,2024-07-14,2024-07-15,7,8,1,True,Alıcı Mevcut Değil,2.16,Gecikmeli Teslim,3.5,Economy,1.37
DEL-000135,ORD-000135,WH-01,DRV-100,İstanbul,İstanbul,2024-09-11,2024-09-14,2024-09-14,3,3,0,False,,2.75,Zamanında Teslim,4.5,Standard,1.22
DEL-000136,ORD-000136,WH-08,DRV-072,Kocaeli,İstanbul,2024-08-14,2024-08-17,2024-08-17,3,3,0,False,,165.17,Zamanında Teslim,4.4,Standard,73.41
DEL-000137,ORD-000137,WH-08,DRV-007,Kocaeli,Manisa,2023-07-06,2023-07-09,2023-07-09,3,3,0,False,,109.12,Zamanında Teslim,5.0,Standard,43.65
DEL-000138,ORD-000138,WH-02,DRV-031,Ankara,Ankara,2024-04-27,2024-04-30,2024-04-30,3,3,0,False,,10.72,Zamanında Teslim,5.0,Standard,4.29
DEL-000139,ORD-000139,WH-07,DRV-066,Konya,İzmir,2023-12-04,2023-12-07,2023-12-07,3,3,0,False,,29.33,Zamanında Teslim,3.9,Standard,11.73
DEL-000140,ORD-000140,WH-02,DRV-077,Ankara,İzmir,2023-02-08,2023-02-11,2023-02-11,3,3,0,False,,3.12,Zamanında Teslim,4.9,Standard,1.25
DEL-000141,ORD-000141,WH-08,DRV-067,Kocaeli,Samsun,2024-06-10,2024-06-13,2024-06-13,3,3,0,False,,10.57,Zamanında Teslim,4.8,Standard,3.02
DEL-000142,ORD-000142,WH-08,DRV-070,Kocaeli,İstanbul,2023-02-26,2023-03-05,2023-03-05,7,7,0,False,,2.52,Zamanında Teslim,4.4,Economy,1.6
DEL-000143,ORD-000143,WH-05,DRV-108,Antalya,İstanbul,2023-02-23,2023-02-26,2023-02-27,3,4,1,True,Hava Koşulları,4.52,Gecikmeli Teslim,2.9,Standard,2.01
DEL-000144,ORD-000144,WH-04,DRV-114,Bursa,İzmir,2024-12-16,2024-12-23,2024-12-25,7,9,2,True,Hava Koşulları,3.22,Gecikmeli Teslim,3.6,Economy,1.84
DEL-000145,ORD-000145,WH-04,DRV-014,Bursa,Bursa,2023-11-16,2023-11-19,2023-11-19,3,3,0,False,,19.96,Zamanında Teslim,4.6,Standard,8.87
DEL-000146,ORD-000146,WH-05,DRV-101,Antalya,Kocaeli,2024-04-18,2024-04-21,2024-04-21,3,3,0,False,,35.5,Zamanında Teslim,4.6,Standard,15.78
DEL-000147,ORD-000147,WH-04,DRV-026,Bursa,İstanbul,2024-12-24,2024-12-31,2024-12-31,7,7,0,False,,139.59,Zamanında Teslim,4.4,Economy,88.63
