order_id,order_date,customer_id,origin_city,destination_city,product_category,quantity,weight_kg,order_value_tl,priority,is_fragile,warehouse_id
ORD-000041,2024-03-09,CUS-01269,Kocaeli,Konya,Oyuncak,1,1.84,249.72,Economy,False,WH-08
ORD-000042,2023-07-14,CUS-02570,İstanbul,Ankara,Elektronik,1,2.4,3763.85,Standard,True,WH-01
ORD-000043,2023-02-28,CUS-00466,İzmir,İstanbul,Otomotiv Parça,1,12.82,1497.23,Standard,False,WH-03
ORD-000044,2024-06-04,CUS-01927,Ankara,İstanbul,Gıda,1,9.83,297.0,Express,False,WH-02
ORD-000045,2024-02-18,CUS-00672,İstanbul,İstanbul,Ev & Yaşam,1,5.46,874.9,Standard,True,WH-01
ORD-000046,2024-03-05,CUS-01674,Antalya,Adana,Ev & Yaşam,2,14.53,2011.9,Standard,True,WH-05
ORD-000047,2024-11-16,CUS-02458,İzmir,Gaziantep,Mobilya,1,40.56,3446.21,Standard,True,WH-03
ORD-000048,2024-04-13,CUS-00601,Ankara,Ankara,Tekstil,1,1.22,393.36,Express,False,WH-02
ORD-000049,2024-07-04,CUS-00564,Adana,İstanbul,Kozmetik,2,1.6,581.51,Standard,False,WH-06
ORD-000050,2023-09-08,CUS-04334,Antalya,Ankara,Gıda,1,6.3,279.6,Standard,False,WH-05
ORD-000051,2023-01-09,CUS-01101,Ankara,Adana,Oyuncak,2,4.05,537.47,Standard,False,WH-02
ORD-000052,2023-09-28,CUS-02232,İzmir,İstanbul,Tekstil,1,1.01,413.77,Economy,False,WH-03
ORD-000053,2023-10-16,CUS-04141,Antalya,Antalya,Kitap/Kırtasiye,5,6.96,683.42,Standard,False,WH-05
ORD-000054,2024-05-15,CUS-02267,Konya,İstanbul,Elektronik,2,5.23,9287.5,Express,True,WH-07
ORD-000055,2023-02-15,CUS-01324,Antalya,İstanbul,Gıda,1,7.48,237.13,Economy,False,WH-05
ORD-000056,2024-03-28,CUS-00617,Ankara,Bursa,Spor Malzemesi,4,21.04,3825.46,Standard,False,WH-02
ORD-000057,2024-12-08,CUS-04772,Adana,Mersin,Oyuncak,1,2.27,219.3,Express,False,WH-06
ORD-000058,2024-07-19,CUS-00327,Adana,İstanbul,Gıda,4,33.6,1086.61,Express,False,WH-06
ORD-000059,2024-01-02,CUS-04587,Adana,İstanbul,Mobilya,2,94.07,6786.36,Standard,True,WH-06
ORD-000060,2024-02-21,CUS-01332,Bursa,Kocaeli,Gıda,1,8.47,205.35,Economy,False,WH-04
ORD-000061,2023-07-01,CUS-03373,Adana,Eskişehir,Elektronik,1,2.59,2435.25,Express,True,WH-06
ORD-000062,2024-11-16,CUS-03134,Ankara,Diyarbakır,Mobilya,2,68.56,6519.18,Express,True,WH-02
ORD-000063,2023-02-09,CUS-02865,Kocaeli,Erzurum,Mobilya,2,76.48,4017.4,Express,True,WH-08
ORD-000064,2023-11-09,CUS-03265,Bursa,Samsun,Mobilya,2,107.34,6177.89,Express,True,WH-04
ORD-000065,2023-12-03,CUS-02877,Antalya,İstanbul,Tekstil,2,1.98,932.82,Economy,False,WH-05
ORD-000066,2024-10-18,CUS-00945,İstanbul,Bursa,Oyuncak,1,1.48,222.89,Standard,False,WH-01
ORD-000067,2023-09-25,CUS-02832,Konya,İstanbul,Kozmetik,7,6.58,2105.83,Express,False,WH-07
ORD-000068,2023-11-18,CUS-02087,Bursa,İzmir,Oyuncak,1,1.8,381.75,Standard,False,WH-04
ORD-000069,2023-02-15,CUS-02984,Bursa,Konya,Elektronik,1,1.8,3469.79,Standard,True,WH-04
ORD-000070,2024-03-17,CUS-02461,Ankara,İstanbul,Kitap/Kırtasiye,2,2.36,268.95,Economy,False,WH-02
ORD-000071,2024-06-03,CUS-04542,Antalya,Ankara,Spor Malzemesi,5,24.38,4740.34,Standard,False,WH-05
ORD-000072,2023-05-11,CUS-04663,İzmir,İstanbul,Spor Malzemesi,6,24.92,2982.18,Standard,False,WH-03
ORD-000073,2023-11-05,CUS-03522,Bursa,İzmir,Elektronik,3,6.11,9153.47,Express,True,WH-04
ORD-000074,2024-08-16,CUS-01751,Kocaeli,Antalya,Kitap/Kırtasiye,1,1.55,131.56,Standard,False,WH-08
ORD-000075,2024-06-07,CUS-04223,Antalya,İzmir,Gıda,1,8.37,199.44,Economy,False,WH-05
ORD-000076,2024-11-10,CUS-02543,Bursa,Adana,Kitap/Kırtasiye,9,13.66,771.4,Express,False,WH-04
ORD-000077,2023-08-19,CUS-03893,Bursa,Trabzon,Gıda,4,37.58,1266.55,Express,False,WH-04
ORD-000078,2024-09-17,CUS-03146,Bursa,Erzurum,Tekstil,2,1.74,688.99,Standard,False,WH-04
ORD-000079,2024-05-21,CUS-00874,İstanbul,Ankara,Gıda,3,25.46,798.23,Economy,False,WH-01
ORD-000080,2024-03-11,CUS-00995,Bursa,İstanbul,Oyuncak,4,7.94,2198.76,Standard,False,WH-04
ORD-000081,2024-04-12,CUS-03626,Adana,İstanbul,Otomotiv Parça,3,45.58,5611.73,Standard,False,WH-06
ORD-000082,2024-09-19,CUS-01304,Kocaeli,Samsun,Oyuncak,3,5.06,999.38,Standard,False,WH-08
ORD-000083,2024-05-01,CUS-04271,Antalya,İzmir,Mobilya,1,46.49,2200.85,Economy,True,WH-05
ORD-000084,2024-05-11,CUS-01921,Antalya,Adana,Kozmetik,1,1.17,170.62,Standard,False,WH-05
ORD-000085,2023-10-06,CUS-01895,İzmir,Ankara,Oyuncak,1,1.65,285.61,Express,False,WH-03
ORD-000086,2024-01-28,CUS-02711,Konya,Konya,Mobilya,1,40.75,3562.27,Express,True,WH-07
ORD-000087,2024-07-09,CUS-03191,Konya,İzmir,Elektronik,1,3.28,3612.48,Express,True,WH-07
ORD-000088,2024-08-21,CUS-03908,Konya,Kocaeli,Elektronik,1,2.13,3689.4,Economy,True,WH-07
ORD-000089,2023-01-07,CUS-04410,Konya,Kocaeli,Kozmetik,1,1.18,467.47,Economy,False,WH-07
ORD-000090,2024-07-13,CUS-03571,Antalya,Trabzon,Mobilya,2,53.55,5861.04,Express,True,WH-05
ORD-000091,2024-05-12,CUS-01353,Konya,İstanbul,Kitap/Kırtasiye,3,4.1,209.78,Economy,False,WH-07
ORD-000092,2024-04-23,CUS-04849,Konya,Mersin,Ev & Yaşam,1,7.16,790.69,Economy,True,WH-07
ORD-000093,2024-07-31,CUS-03783,İzmir,Adana,Tekstil,1,1.12,414.24,Economy,False,WH-03
ORD-000094,2023-07-06,CUS-02678,Kocaeli,İstanbul,Spor Malzemesi,1,6.77,881.0,Standard,False,WH-08
ORD-000095,2023-12-12,CUS-02067,Konya,Kayseri,Spor Malzemesi,2,10.75,2260.54,Standard,False,WH-07
ORD-000096,2023-03-25,CUS-01837,Adana,İzmir,Oyuncak,1,1.25,246.1,Express,False,WH-06
ORD-000097,2024-10-27,CUS-01634,Bursa,İstanbul,Elektronik,1,2.38,5138.0,Standard,True,WH-04
ORD-000098,2023-01-21,CUS-04621,Ankara,Adana,Mobilya,1,15.83,2082.93,Express,True,WH-02
ORD-000099,2023-08-12,CUS-04964,İzmir,İzmir,Kozmetik,1,0.48,215.98,Economy,False,WH-03
ORD-000100,2024-09-13,CUS-02549,İzmir,Kocaeli,Tekstil,1,1.09,464.71,Economy,False,WH-03
ORD-000101,2023-04-21,CUS-03250,Konya,Antalya,Kozmetik,1,0.81,507.84,Economy,False,WH-07
ORD-000102,2023-07-23,CUS-04919,Antalya,İstanbul,Mobilya,3,108.5,9370.42,Express,True,WH-05
ORD-000103,2023-05-04,CUS-04365,Adana,Trabzon,Ev & Yaşam,1,6.24,659.9,Economy,True,WH-06
ORD-000104,2024-03-14,CUS-00104,Adana,Adana,Tekstil,1,1.23,524.49,Economy,False,WH-06
ORD-000105,2024-03-06,CUS-03767,Adana,Samsun,Tekstil,1,1.05,687.52,Standard,False,WH-06
ORD-000106,2024-12-25,CUS-04409,Antalya,İstanbul,Gıda,1,7.76,286.77,Economy,False,WH-05
ORD-000107,2024-05-10,CUS-00710,Bursa,İzmir,Ev & Yaşam,6,35.21,4102.41,Standard,True,WH-04
ORD-000108,2023-10-13,CUS-02756,Konya,Eskişehir,Mobilya,1,39.7,3394.72,Economy,True,WH-07
ORD-000109,2023-01-30,CUS-02907,Bursa,Bursa,Kitap/Kırtasiye,1,1.79,163.58,Standard,False,WH-04
ORD-000110,2023-09-22,CUS-04554,Antalya,Ankara,Ev & Yaşam,4,30.23,3009.26,Standard,True,WH-05
ORD-000111,2023-01-11,CUS-04003,Konya,Bursa,Mobilya,1,49.97,2302.91,Express,True,WH-07
ORD-000112,2024-07-22,CUS-03672,Kocaeli,Kayseri,Otomotiv Parça,3,35.85,4631.99,Standard,False,WH-08
ORD-000113,2023-01-18,CUS-02509,Bursa,İstanbul,Mobilya,1,38.98,3613.36,Standard,True,WH-04
ORD-000114,2024-11-10,CUS-03486,Adana,Antalya,Otomotiv Parça,5,57.39,9560.21,Standard,False,WH-06
ORD-000115,2024-07-17,CUS-01889,Antalya,Ankara,Otomotiv Parça,2,22.04,3196.22,Standard,False,WH-05
ORD-000116,2023-05-04,CUS-01570,İzmir,Gaziantep,Kitap/Kırtasiye,4,7.57,482.52,Standard,False,WH-03
ORD-000117,2023-08-10,CUS-00824,Antalya,Gaziantep,Kozmetik,1,0.76,388.32,Economy,False,WH-05
ORD-000118,2023-07-18,CUS-04376,İstanbul,Ankara,Kitap/Kırtasiye,1,1.6,116.1,Standard,False,WH-01
ORD-000119,2023-05-10,CUS-04022,İzmir,İstanbul,Elektronik,6,20.74,26592.44,Standard,True,WH-03
ORD-000120,2023-04-16,CUS-03609,Kocaeli,Diyarbakır,Ev & Yaşam,1,5.19,452.69,Standard,True,WH-08
ORD-000121,2023-12-15,CUS-00935,Kocaeli,İstanbul,Elektronik,2,5.77,8167.35,Express,True,WH-08
ORD-000122,2023-03-08,CUS-01243,İstanbul,İzmir,Tekstil,3,3.59,1047.18,Standard,False,WH-01
ORD-000123,2023-06-02,CUS-00971,Bursa,Samsun,Kozmetik,1,0.47,461.63,Express,False,WH-04
ORD-000124,2024-07-25,CUS-04281,Bursa,Kayseri,Ev & Yaşam,4,21.71,2391.1,Standard,True,WH-04
ORD-000125,2024-01-25,CUS-02502,Konya,İzmir,Otomotiv Parça,1,13.47,2009.21,Standard,False,WH-07
ORD-000126,2024-08-05,CUS-01703,Ankara,Adana,Ev & Yaşam,1,6.82,567.62,Economy,True,WH-02
ORD-000127,2024-10-02,CUS-04522,İzmir,İstanbul,Tekstil,1,1.33,548.16,Standard,False,WH-03
ORD-000128,2023-03-18,CUS-02386,Kocaeli,İstanbul,Spor Malzemesi,1,3.55,518.51,Standard,False,WH-08
ORD-000129,2023-02-03,CUS-00584,Kocaeli,İstanbul,Kozmetik,3,2.08,1286.43,Standard,False,WH-08
ORD-000130,2024-12-04,CUS-03483,Bursa,İstanbul,Kozmetik,1,0.85,438.03,Economy,False,WH-04
ORD-000131,2023-04-28,CUS-00585,İzmir,Bursa,Gıda,1,7.52,249.71,Economy,False,WH-03
ORD-000132,2023-03-03,CUS-03598,Antalya,İstanbul,Kozmetik,1,0.85,253.82,Economy,False,WH-05
ORD-000133,2023-05-08,CUS-04100,Antalya,İzmir,Kozmetik,2,1.76,654.22,Economy,False,WH-05
ORD-000134,2024-07-06,CUS-02641,Konya,Bursa,Tekstil,1,1.37,404.86,Economy,False,WH-07
ORD-000135,2024-09-10,CUS-02208,İstanbul,İstanbul,Tekstil,1,1.22,560.64,Standard,False,WH-01
ORD-000136,2024-08-13,CUS-02279,Kocaeli,İstanbul,Gıda,9,73.41,1815.18,Standard,False,WH-08
ORD-000137,2023-07-05,CUS-00748,Kocaeli,Manisa,Spor Malzemesi,6,43.65,5287.47,Standard,False,WH-08
ORD-000138,2024-04-26,CUS-01318,Ankara,Ankara,Kitap/Kırtasiye,2,4.29,193.96,Standard,False,WH-02
ORD-000139,2023-12-04,CUS-04507,Konya,İzmir,Otomotiv Parça,1,11.73,1866.12,Standard,False,WH-07
ORD-000140,2023-02-07,CUS-03312,Ankara,İzmir,Kitap/Kırtasiye,1,1.25,102.02,Standard,False,WH-02
ORD-000141,2024-06-10,CUS-03386,Kocaeli,Samsun,Elektronik,1,3.02,1916.14,Standard,True,WH-08
ORD-000142,2023-02-25,CUS-03622,Kocaeli,İstanbul,Kitap/Kırtasiye,1,1.6,176.29,Economy,False,WH-08
ORD-000143,2023-02-22,CUS-03590,Antalya,İstanbul,Oyuncak,1,2.01,347.94,Standard,False,WH-05
ORD-000144,2024-12-16,CUS-01298,Bursa,İzmir,Elektronik,1,1.84,5102.53,Economy,True,WH-04
ORD-000145,2023-11-15,CUS-00930,Bursa,Bursa,Oyuncak,5,8.87,1301.22,Standard,False,WH-04
ORD-000146,2024-04-17,CUS-04169,Antalya,Kocaeli,Gıda,3,15.78,1003.85,Standard,False,WH-05
ORD-000147,2024-12-23,CUS-03742,Bursa,İstanbul,Otomotiv Parça,7,88.63,11231.65,Economy,False,WH-04
ORD-000148,2024-07-18,CUS-00572,İzmir,İstanbul,Mobilya,1,30.65,2380.44,Economy,True,WH-03
ORD-000149,2023-10-10,CUS-00022,Antalya,Kayseri,Spor Malzemesi,1,5.26,860.47,Standard,False,WH-05
ORD-000150,2023-10-17,CUS-01218,Kocaeli,Gaziantep,Ev & Yaşam,16,104.11,10522.15,Standard,True,WH-08
ORD-000151,2024-04-02,CUS-03731,Konya,Bursa,Kitap/Kırtasiye,2,2.81,144.05,Standard,False,WH-07
ORD-000152,2023-11-26,CUS-03366,Bursa,Diyarbakır,Mobilya,1,46.08,3160.11,Standard,True,WH-04
ORD-000153,2023-02-14,CUS-03163,Konya,Ankara,Otomotiv Parça,1,14.55,2078.01,Standard,False,WH-07
ORD-000154,2024-11-10,CUS-01035,İstanbul,Trabzon,Gıda,1,8.53,203.22,Standard,False,WH-01
ORD-000155,2024-05-29,CUS-00817,Kocaeli,Kocaeli,Kitap/Kırtasiye,1,1.53,166.54,Economy,False,WH-08
ORD-000156,2024-06-22,CUS-01265,Konya,Mersin,Elektronik,3,10.59,15107.77,Standard,True,WH-07
ORD-000157,2023-03-18,CUS-00658,Konya,İzmir,Kozmetik,4,2.55,1193.89,Standard,False,WH-07
ORD-000158,2023-12-03,CUS-03998,Adana,Erzurum,Oyuncak,1,2.03,375.8,Standard,False,WH-06
ORD-000159,2024-07-08,CUS-01864,Antalya,İstanbul,Tekstil,2,2.19,822.98,Standard,False,WH-05
ORD-000160,2023-04-03,CUS-03635,Ankara,İzmir,Tekstil,1,1.45,252.14,Economy,False,WH-02
ORD-000161,2023-06-20,CUS-02404,İstanbul,Konya,Elektronik,1,2.94,3380.06,Express,True,WH-01
ORD-000162,2024-01-03,CUS-04637,Konya,Ankara,Gıda,1,10.4,254.63,Standard,False,WH-07
ORD-000163,2024-11-29,CUS-01973,Konya,Trabzon,Gıda,1,9.57,270.67,Standard,False,WH-07
ORD-000164,2024-05-24,CUS-03765,Antalya,Mersin,Gıda,5,26.37,1232.64,Express,False,WH-05
ORD-000165,2023-09-19,CUS-00606,İzmir,Adana,Otomotiv Parça,1,11.99,1651.17,Economy,False,WH-03
ORD-000166,2024-03-28,CUS-02049,Konya,Kocaeli,Ev & Yaşam,1,4.8,758.82,Standard,True,WH-07
ORD-000167,2024-04-12,CUS-00874,Kocaeli,Erzurum,Mobilya,1,35.09,3141.37,Economy,True,WH-08
ORD-000168,2023-08-31,CUS-00180,Antalya,Ankara,Kitap/Kırtasiye,1,1.48,148.65,Economy,False,WH-05
ORD-000169,2024-11-05,CUS-04968,İstanbul,Ankara,Elektronik,2,4.55,6167.58,Standard,True,WH-01
ORD-000170,2024-05-23,CUS-04974,Bursa,Samsun,Kozmetik,1,0.72,256.57,Economy,False,WH-04
ORD-000171,2023-12-27,CUS-00796,İzmir,İstanbul,Mobilya,1,32.09,2665.93,Standard,True,WH-03
ORD-000172,2024-10-04,CUS-04748,İstanbul,Adana,Kozmetik,1,1.11,322.82,Economy,False,WH-01
ORD-000173,2024-01-09,CUS-03404,Adana,Gaziantep,Tekstil,1,1.32,585.52,Economy,False,WH-06
ORD-000174,2023-06-29,CUS-04349,Adana,İstanbul,Oyuncak,1,1.76,264.53,Economy,False,WH-06
ORD-000175,2024-05-28,CUS-02418,Kocaeli,Mersin,Gıda,3,20.47,858.66,Standard,False,WH-08
ORD-000176,2023-12-13,CUS-01849,İzmir,Trabzon,Otomotiv Parça,1,11.34,636.78,Economy,False,WH-03
ORD-000177,2024-11-23,CUS-00740,Adana,Gaziantep,Spor Malzemesi,1,4.37,361.57,Economy,False,WH-06
ORD-000178,2024-02-09,CUS-02148,Adana,İstanbul,Oyuncak,2,4.02,603.58,Standard,False,WH-06
ORD-000179,2024-08-21,CUS-03863,Bursa,Ankara,Kitap/Kırtasiye,1,1.21,122.38,Standard,False,WH-04
ORD-000180,2023-01-26,CUS-00518,Bursa,Antalya,Oyuncak,1,1.22,294.24,Standard,False,WH-04
ORD-000181,2024-10-12,CUS-01146,Ankara,Samsun,Kozmetik,1,0.77,316.18,Economy,False,WH-02
ORD-000182,2023-02-16,CUS-00797,Ankara,Kocaeli,Kozmetik,1,0.7,233.48,Economy,False,WH-02
ORD-000183,2023-08-29,CUS-04426,Adana,Eskişehir,Gıda,1,8.35,306.91,Standard,False,WH-06
ORD-000184,2024-03-05,CUS-04009,Ankara,Antalya,Gıda,2,15.97,684.99,Economy,False,WH-02
ORD-000185,2024-09-22,CUS-01780,Adana,İzmir,Kozmetik,1,1.18,401.16,Express,False,WH-06
ORD-000186,2024-03-30,CUS-03010,Ankara,İzmir,Mobilya,2,71.33,5333.53,Economy,True,WH-02
ORD-000187,2024-07-11,CUS-01555,Antalya,Mersin,Kitap/Kırtasiye,1,1.92,80.71,Express,False,WH-05
ORD-000188,2023-05-06,CUS-04892,Bursa,Kocaeli,Otomotiv Parça,1,8.64,1711.11,Express,False,WH-04
ORD-000189,2023-01-22,CUS-04626,İzmir,İstanbul,Kitap/Kırtasiye,1,1.36,101.22,Standard,False,WH-03
ORD-000190,2023-07-30,CUS-01909,Bursa,İstanbul,Oyuncak,1,1.59,219.52,Standard,False,WH-04
ORD-000191,2023-12-03,CUS-01065,İzmir,Kayseri,Ev & Yaşam,1,3.25,761.25,Express,True,WH-03
ORD-000192,2024-07-07,CUS-01080,İstanbul,İstanbul,Gıda,8,60.94,1546.22,Express,False,WH-01
ORD-000193,2023-01-16,CUS-01428,İstanbul,Ankara,Mobilya,6,282.82,17949.03,Standard,True,WH-01
ORD-000194,2023-09-29,CUS-03902,Ankara,İstanbul,Spor Malzemesi,1,5.5,604.49,Economy,False,WH-02
ORD-000195,2024-04-04,CUS-04128,Kocaeli,Kayseri,Oyuncak,5,12.68,1966.86,Standard,False,WH-08
ORD-000196,2023-08-15,CUS-03753,Antalya,Kocaeli,Elektronik,1,2.17,3999.27,Standard,True,WH-05
ORD-000197,2024-10-20,CUS-03493,Konya,Kocaeli,Elektronik,1,2.64,1101.66,Economy,True,WH-07
ORD-000198,2024-12-03,CUS-02639,Ankara,İstanbul,Otomotiv Parça,1,12.62,1160.88,Express,False,WH-02
ORD-000199,2024-09-14,CUS-03121,Adana,İstanbul,Gıda,1,6.18,266.73,Standard,False,WH-06
ORD-000200,2024-09-03,CUS-00813,Konya,Bursa,Otomotiv Parça,1,10.44,1517.77,Standard,False,WH-07
ORD-000201,2024-12-19,CUS-03524,Bursa,İstanbul,Oyuncak,1,1.58,333.22,Economy,False,WH-04
ORD-000202,2024-04-07,CUS-03267,Kocaeli,Eskişehir,Spor Malzemesi,2,11.06,2176.63,Standard,False,WH-08
ORD-000203,2024-03-01,CUS-03067,Antalya,Gaziantep,Kitap/Kırtasiye,1,0.97,89.02,Standard,False,WH-05
ORD-000204,2023-06-06,CUS-00764,Ankara,Konya,Otomotiv Parça,5,64.45,6367.53,Express,False,WH-02
ORD-000205,2024-03-18,CUS-04805,İstanbul,İstanbul,Kitap/Kırtasiye,5,8.23,837.02,Economy,False,WH-01
ORD-000206,2024-07-29,CUS-00422,Konya,Antalya,Tekstil,3,3.84,1210.99,Standard,False,WH-07
ORD-000207,2023-10-22,CUS-01268,Bursa,Antalya,Kitap/Kırtasiye,1,1.4,110.43,Standard,False,WH-04
ORD-000208,2024-11-03,CUS-00942,Adana,İzmir,Tekstil,3,3.81,2050.45,Standard,False,WH-06
ORD-000209,2023-10-13,CUS-04989,İstanbul,Antalya,Spor Malzemesi,1,4.73,989.52,Economy,False,WH-01
ORD-000210,2024-11-04,CUS-02532,Antalya,Samsun,Kozmetik,3,1.42,718.06,Express,False,WH-05
ORD-000211,2023-12-14,CUS-00571,Konya,Ankara,Gıda,1,9.68,197.28,Economy,False,WH-07
ORD-000212,2023-05-26,CUS-03082,Bursa,Gaziantep,Elektronik,1,2.66,3308.29,Express,True,WH-04
ORD-000213,2024-03-05,CUS-04650,Adana,İzmir,Gıda,1,9.43,255.98,Standard,False,WH-06
ORD-000214,2024-09-02,CUS-00669,İstanbul,İstanbul,Elektronik,1,1.76,4500.78,Express,True,WH-01
ORD-000215,2023-10-06,CUS-03393,Kocaeli,İzmir,Spor Malzemesi,1,5.51,1049.47,Standard,False,WH-08
ORD-000216,2023-10-07,CUS-00909,Konya,İstanbul,Oyuncak,1,1.87,297.38,Standard,False,WH-07
ORD-000217,2023-10-18,CUS-00373,Antalya,Konya,Ev & Yaşam,1,5.08,517.24,Standard,True,WH-05
ORD-000218,2023-08-14,CUS-02470,Bursa,Ankara,Ev & Yaşam,2,13.19,1144.76,Express,True,WH-04
ORD-000219,2023-08-05,CUS-00064,Ankara,Kayseri,Kozmetik,2,1.49,772.66,Standard,False,WH-02
ORD-000220,2024-05-24,CUS-04099,Bursa,Gaziantep,Gıda,3,22.7,566.48,Standard,False,WH-04
ORD-000221,2024-07-26,CUS-03574,İstanbul,Samsun,Kitap/Kırtasiye,3,4.12,310.26,Express,False,WH-01
ORD-000222,2023-01-20,CUS-04698,Konya,İzmir,Tekstil,2,2.82,1205.02,Economy,False,WH-07
ORD-000223,2024-02-19,CUS-00171,Konya,Konya,Spor Malzemesi,2,6.74,1712.39,Standard,False,WH-07
ORD-000224,2023-11-29,CUS-00722,Adana,İstanbul,Ev & Yaşam,1,4.19,893.11,Standard,True,WH-06
ORD-000225,2024-03-23,CUS-04293,Konya,Erzurum,Mobilya,1,46.62,4650.5,Standard,True,WH-07
ORD-000226,2023-03-22,CUS-02729,Bursa,Ankara,Kozmetik,1,0.82,378.06,Economy,False,WH-04
ORD-000227,2023-06-22,CUS-02863,Bursa,İstanbul,Tekstil,2,2.5,999.48,Economy,False,WH-04
ORD-000228,2023-12-26,CUS-02097,İzmir,Gaziantep,Gıda,1,11.01,334.09,Standard,False,WH-03
ORD-000229,2023-07-22,CUS-01452,Ankara,İstanbul,Gıda,1,8.29,256.26,Economy,False,WH-02
